CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact
1001,Frodo,Baggins,123-545-5421,"123 Shire Lane, Shire",Yes,No
1005,Jon,Snow,876|678|3469,123 Dragons Road,Yes,No
1008,Sherlock,Holmes,876|678|3469,98 Clue Drive,No,No
1010,Peter,Parker,123-545-5421,"25th Main Street, New York",Yes,No
1013,Don,Draper,123-543-2345,2039 Main Street,Yes,No
1014,Leslie,Knope,876|678|3469,343 City Parkway,Yes,No
1015,Toby,Flenderson_,304-762-2467,214 HR Avenue,No,No
1016,Ron,Weasley,123-545-5421,2395 Hogwarts Avenue,No,No
1017,Michael ,Scott,123/643/9775,"121 Paper Avenue, Pennsylvania",Yes,No
1020,Anakin,Skywalker,876|678|3469,"910 Tatooine Road, Tatooine",Yes,No
1020,Anakin,Skywalker,876|678|3469,"910 Tatooine Road, Tatooine",Yes,No
